"label","n","parent","id"
"total",131569,NA,"total"
"Action",17684,"total","total  -  Action"
"Adult",214,"total","total  -  Adult"
"Adventure",10855,"total","total  -  Adventure"
"Animation",4624,"total","total  -  Animation"
"Biography",718,"total","total  -  Biography"
"Comedy",17407,"total","total  -  Comedy"
"Crime",12083,"total","total  -  Crime"
"Documentary",2035,"total","total  -  Documentary"
"Drama",29063,"total","total  -  Drama"
"Family",1922,"total","total  -  Family"
"Fantasy",3616,"total","total  -  Fantasy"
"Film Noir",520,"total","total  -  Film Noir"
"Game Show",496,"total","total  -  Game Show"
"History",271,"total","total  -  History"
"Horror",2995,"total","total  -  Horror"
"Music",986,"total","total  -  Music"
"Musical",80,"total","total  -  Musical"
"Mystery",4976,"total","total  -  Mystery"
"Reality TV",897,"total","total  -  Reality TV"
"Romance",8093,"total","total  -  Romance"
"Sci Fi",2894,"total","total  -  Sci Fi"
"Short",247,"total","total  -  Short"
"Sport",1227,"total","total  -  Sport"
"Talk Show",759,"total","total  -  Talk Show"
"Thriller",6347,"total","total  -  Thriller"
"War",318,"total","total  -  War"
"Western",242,"total","total  -  Western"
"Argentina",139,"total  -   Action","total  -   Action  -  Argentina"
"Argentina",1,"total  -   Adult","total  -   Adult  -  Argentina"
"Argentina",102,"total  -   Adventure","total  -   Adventure  -  Argentina"
"Argentina",55,"total  -   Animation","total  -   Animation  -  Argentina"
"Argentina",6,"total  -   Biography","total  -   Biography  -  Argentina"
"Argentina",177,"total  -   Comedy","total  -   Comedy  -  Argentina"
"Argentina",124,"total  -   Crime","total  -   Crime  -  Argentina"
"Argentina",18,"total  -   Documentary","total  -   Documentary  -  Argentina"
"Argentina",362,"total  -   Drama","total  -   Drama  -  Argentina"
"Argentina",13,"total  -   Family","total  -   Family  -  Argentina"
"Argentina",29,"total  -   Fantasy","total  -   Fantasy  -  Argentina"
"Argentina",5,"total  -   Film Noir","total  -   Film Noir  -  Argentina"
"Argentina",3,"total  -   History","total  -   History  -  Argentina"
"Argentina",34,"total  -   Horror","total  -   Horror  -  Argentina"
"Argentina",37,"total  -   Music","total  -   Music  -  Argentina"
"Argentina",58,"total  -   Mystery","total  -   Mystery  -  Argentina"
"Argentina",91,"total  -   Romance","total  -   Romance  -  Argentina"
"Argentina",12,"total  -   Sci Fi","total  -   Sci Fi  -  Argentina"
