"id","n","label","parent"
"total  -   Comedy  -  Japan",165,"Japan","total  -   Comedy"
"total  -   Crime  -  Japan",97,"Japan","total  -   Crime"
"total  -   Drama  -  Japan",272,"Japan","total  -   Drama"
"total  -   Horror  -  Japan",39,"Japan","total  -   Horror"
"total  -   Mystery  -  Japan",43,"Japan","total  -   Mystery"
"total  -   Romance  -  Japan",167,"Japan","total  -   Romance"
"total  -   Thriller  -  Japan",67,"Japan","total  -   Thriller"
"total  -   Action  -  Jordan",210,"Jordan","total  -   Action"
"total  -   Adventure  -  Jordan",100,"Jordan","total  -   Adventure"
"total  -   Animation  -  Jordan",33,"Jordan","total  -   Animation"
"total  -   Comedy  -  Jordan",237,"Jordan","total  -   Comedy"
"total  -   Crime  -  Jordan",129,"Jordan","total  -   Crime"
"total  -   Drama  -  Jordan",282,"Jordan","total  -   Drama"
"total  -   Fantasy  -  Jordan",34,"Jordan","total  -   Fantasy"
"total  -   Mystery  -  Jordan",43,"Jordan","total  -   Mystery"
"total  -   Romance  -  Jordan",154,"Jordan","total  -   Romance"
"total  -   Thriller  -  Jordan",65,"Jordan","total  -   Thriller"
"total  -   Action  -  Kenya",200,"Kenya","total  -   Action"
"total  -   Adventure  -  Kenya",90,"Kenya","total  -   Adventure"
"total  -   Comedy  -  Kenya",197,"Kenya","total  -   Comedy"
"total  -   Crime  -  Kenya",125,"Kenya","total  -   Crime"
"total  -   Drama  -  Kenya",320,"Kenya","total  -   Drama"
"total  -   Fantasy  -  Kenya",32,"Kenya","total  -   Fantasy"
"total  -   Mystery  -  Kenya",54,"Kenya","total  -   Mystery"
"total  -   Romance  -  Kenya",81,"Kenya","total  -   Romance"
"total  -   Sci Fi  -  Kenya",34,"Kenya","total  -   Sci Fi"
"total  -   Thriller  -  Kenya",68,"Kenya","total  -   Thriller"
"total  -   Action  -  Kuwait",224,"Kuwait","total  -   Action"
"total  -   Adventure  -  Kuwait",129,"Kuwait","total  -   Adventure"
"total  -   Animation  -  Kuwait",55,"Kuwait","total  -   Animation"
"total  -   Comedy  -  Kuwait",167,"Kuwait","total  -   Comedy"
"total  -   Crime  -  Kuwait",125,"Kuwait","total  -   Crime"
"total  -   Drama  -  Kuwait",303,"Kuwait","total  -   Drama"
"total  -   Fantasy  -  Kuwait",43,"Kuwait","total  -   Fantasy"
"total  -   Mystery  -  Kuwait",55,"Kuwait","total  -   Mystery"
"total  -   Romance  -  Kuwait",66,"Kuwait","total  -   Romance"
"total  -   Thriller  -  Kuwait",83,"Kuwait","total  -   Thriller"
"total  -   Action  -  Latvia",171,"Latvia","total  -   Action"
"total  -   Adventure  -  Latvia",141,"Latvia","total  -   Adventure"
"total  -   Animation  -  Latvia",79,"Latvia","total  -   Animation"
"total  -   Comedy  -  Latvia",245,"Latvia","total  -   Comedy"
"total  -   Crime  -  Latvia",113,"Latvia","total  -   Crime"
"total  -   Drama  -  Latvia",262,"Latvia","total  -   Drama"
"total  -   Mystery  -  Latvia",62,"Latvia","total  -   Mystery"
"total  -   Romance  -  Latvia",82,"Latvia","total  -   Romance"
"total  -   Sci Fi  -  Latvia",54,"Latvia","total  -   Sci Fi"
"total  -   Thriller  -  Latvia",48,"Latvia","total  -   Thriller"
"total  -   Action  -  Lebanon",202,"Lebanon","total  -   Action"
"total  -   Adventure  -  Lebanon",100,"Lebanon","total  -   Adventure"
"total  -   Comedy  -  Lebanon",178,"Lebanon","total  -   Comedy"
"total  -   Crime  -  Lebanon",140,"Lebanon","total  -   Crime"
"total  -   Drama  -  Lebanon",354,"Lebanon","total  -   Drama"
"total  -   Fantasy  -  Lebanon",48,"Lebanon","total  -   Fantasy"
"total  -   Mystery  -  Lebanon",39,"Lebanon","total  -   Mystery"
"total  -   Romance  -  Lebanon",99,"Lebanon","total  -   Romance"
"total  -   Sci Fi  -  Lebanon",27,"Lebanon","total  -   Sci Fi"
"total  -   Thriller  -  Lebanon",77,"Lebanon","total  -   Thriller"
"total  -   Action  -  Lithuania",146,"Lithuania","total  -   Action"
"total  -   Adventure  -  Lithuania",100,"Lithuania","total  -   Adventure"
"total  -   Animation  -  Lithuania",50,"Lithuania","total  -   Animation"
"total  -   Comedy  -  Lithuania",226,"Lithuania","total  -   Comedy"
"total  -   Crime  -  Lithuania",122,"Lithuania","total  -   Crime"
"total  -   Drama  -  Lithuania",254,"Lithuania","total  -   Drama"
"total  -   Mystery  -  Lithuania",49,"Lithuania","total  -   Mystery"
"total  -   Romance  -  Lithuania",99,"Lithuania","total  -   Romance"
"total  -   Sci Fi  -  Lithuania",38,"Lithuania","total  -   Sci Fi"
"total  -   Thriller  -  Lithuania",53,"Lithuania","total  -   Thriller"
"total  -   Action  -  Luxembourg",175,"Luxembourg","total  -   Action"
"total  -   Adventure  -  Luxembourg",124,"Luxembourg","total  -   Adventure"
"total  -   Animation  -  Luxembourg",53,"Luxembourg","total  -   Animation"
"total  -   Comedy  -  Luxembourg",183,"Luxembourg","total  -   Comedy"
"total  -   Crime  -  Luxembourg",137,"Luxembourg","total  -   Crime"
"total  -   Drama  -  Luxembourg",325,"Luxembourg","total  -   Drama"
"total  -   Fantasy  -  Luxembourg",47,"Luxembourg","total  -   Fantasy"
"total  -   Mystery  -  Luxembourg",50,"Luxembourg","total  -   Mystery"
"total  -   Romance  -  Luxembourg",86,"Luxembourg","total  -   Romance"
"total  -   Thriller  -  Luxembourg",63,"Luxembourg","total  -   Thriller"
"total  -   Action  -  Malaysia",218,"Malaysia","total  -   Action"
"total  -   Adventure  -  Malaysia",118,"Malaysia","total  -   Adventure"
"total  -   Comedy  -  Malaysia",201,"Malaysia","total  -   Comedy"
"total  -   Crime  -  Malaysia",140,"Malaysia","total  -   Crime"
"total  -   Drama  -  Malaysia",317,"Malaysia","total  -   Drama"
"total  -   Fantasy  -  Malaysia",50,"Malaysia","total  -   Fantasy"
"total  -   Horror  -  Malaysia",42,"Malaysia","total  -   Horror"
"total  -   Mystery  -  Malaysia",76,"Malaysia","total  -   Mystery"
"total  -   Romance  -  Malaysia",94,"Malaysia","total  -   Romance"
"total  -   Thriller  -  Malaysia",86,"Malaysia","total  -   Thriller"
"total  -   Action  -  Maldives",203,"Maldives","total  -   Action"
"total  -   Adventure  -  Maldives",108,"Maldives","total  -   Adventure"
"total  -   Animation  -  Maldives",43,"Maldives","total  -   Animation"
"total  -   Comedy  -  Maldives",193,"Maldives","total  -   Comedy"
"total  -   Crime  -  Maldives",143,"Maldives","total  -   Crime"
"total  -   Drama  -  Maldives",292,"Maldives","total  -   Drama"
"total  -   Fantasy  -  Maldives",35,"Maldives","total  -   Fantasy"
"total  -   Mystery  -  Maldives",74,"Maldives","total  -   Mystery"
"total  -   Romance  -  Maldives",83,"Maldives","total  -   Romance"
"total  -   Thriller  -  Maldives",68,"Maldives","total  -   Thriller"
"total  -   Action  -  Malta",177,"Malta","total  -   Action"
"total  -   Adventure  -  Malta",84,"Malta","total  -   Adventure"
"total  -   Comedy  -  Malta",170,"Malta","total  -   Comedy"
"total  -   Crime  -  Malta",143,"Malta","total  -   Crime"
"total  -   Documentary  -  Malta",32,"Malta","total  -   Documentary"
"total  -   Drama  -  Malta",318,"Malta","total  -   Drama"
"total  -   Mystery  -  Malta",58,"Malta","total  -   Mystery"
"total  -   Romance  -  Malta",89,"Malta","total  -   Romance"
"total  -   Sci Fi  -  Malta",38,"Malta","total  -   Sci Fi"
"total  -   Thriller  -  Malta",66,"Malta","total  -   Thriller"
"total  -   Action  -  Martinique",218,"Martinique","total  -   Action"
"total  -   Adventure  -  Martinique",124,"Martinique","total  -   Adventure"
"total  -   Animation  -  Martinique",51,"Martinique","total  -   Animation"
"total  -   Comedy  -  Martinique",163,"Martinique","total  -   Comedy"
"total  -   Crime  -  Martinique",152,"Martinique","total  -   Crime"
"total  -   Drama  -  Martinique",320,"Martinique","total  -   Drama"
"total  -   Fantasy  -  Martinique",44,"Martinique","total  -   Fantasy"
"total  -   Mystery  -  Martinique",45,"Martinique","total  -   Mystery"
"total  -   Romance  -  Martinique",74,"Martinique","total  -   Romance"
"total  -   Thriller  -  Martinique",72,"Martinique","total  -   Thriller"
"total  -   Action  -  Mauritius",212,"Mauritius","total  -   Action"
"total  -   Adventure  -  Mauritius",106,"Mauritius","total  -   Adventure"
"total  -   Animation  -  Mauritius",39,"Mauritius","total  -   Animation"
"total  -   Comedy  -  Mauritius",199,"Mauritius","total  -   Comedy"
"total  -   Crime  -  Mauritius",131,"Mauritius","total  -   Crime"
"total  -   Drama  -  Mauritius",309,"Mauritius","total  -   Drama"
"total  -   Fantasy  -  Mauritius",43,"Mauritius","total  -   Fantasy"
"total  -   Mystery  -  Mauritius",61,"Mauritius","total  -   Mystery"
"total  -   Romance  -  Mauritius",82,"Mauritius","total  -   Romance"
"total  -   Thriller  -  Mauritius",64,"Mauritius","total  -   Thriller"
"total  -   Action  -  Mexico",123,"Mexico","total  -   Action"
"total  -   Adventure  -  Mexico",131,"Mexico","total  -   Adventure"
"total  -   Animation  -  Mexico",87,"Mexico","total  -   Animation"
"total  -   Comedy  -  Mexico",221,"Mexico","total  -   Comedy"
"total  -   Crime  -  Mexico",99,"Mexico","total  -   Crime"
"total  -   Drama  -  Mexico",327,"Mexico","total  -   Drama"
"total  -   Fantasy  -  Mexico",35,"Mexico","total  -   Fantasy"
"total  -   Mystery  -  Mexico",44,"Mexico","total  -   Mystery"
"total  -   Romance  -  Mexico",103,"Mexico","total  -   Romance"
"total  -   Thriller  -  Mexico",60,"Mexico","total  -   Thriller"
"total  -   Action  -  Morocco",250,"Morocco","total  -   Action"
"total  -   Adventure  -  Morocco",105,"Morocco","total  -   Adventure"
"total  -   Animation  -  Morocco",33,"Morocco","total  -   Animation"
"total  -   Comedy  -  Morocco",178,"Morocco","total  -   Comedy"
"total  -   Crime  -  Morocco",189,"Morocco","total  -   Crime"
"total  -   Drama  -  Morocco",355,"Morocco","total  -   Drama"
"total  -   Fantasy  -  Morocco",27,"Morocco","total  -   Fantasy"
"total  -   Mystery  -  Morocco",58,"Morocco","total  -   Mystery"
"total  -   Romance  -  Morocco",64,"Morocco","total  -   Romance"
"total  -   Sci Fi  -  Morocco",27,"Morocco","total  -   Sci Fi"
"total  -   Thriller  -  Morocco",84,"Morocco","total  -   Thriller"
"total  -   Action  -  Netherlands",161,"Netherlands","total  -   Action"
"total  -   Adventure  -  Netherlands",119,"Netherlands","total  -   Adventure"
"total  -   Animation  -  Netherlands",54,"Netherlands","total  -   Animation"
"total  -   Comedy  -  Netherlands",161,"Netherlands","total  -   Comedy"
"total  -   Crime  -  Netherlands",137,"Netherlands","total  -   Crime"
"total  -   Drama  -  Netherlands",326,"Netherlands","total  -   Drama"
"total  -   Fantasy  -  Netherlands",41,"Netherlands","total  -   Fantasy"
"total  -   Mystery  -  Netherlands",56,"Netherlands","total  -   Mystery"
"total  -   Romance  -  Netherlands",73,"Netherlands","total  -   Romance"
"total  -   Thriller  -  Netherlands",68,"Netherlands","total  -   Thriller"
"total  -   Action  -  New Caledonia",262,"New Caledonia","total  -   Action"
"total  -   Adventure  -  New Caledonia",157,"New Caledonia","total  -   Adventure"
"total  -   Animation  -  New Caledonia",66,"New Caledonia","total  -   Animation"
"total  -   Comedy  -  New Caledonia",146,"New Caledonia","total  -   Comedy"
"total  -   Crime  -  New Caledonia",153,"New Caledonia","total  -   Crime"
"total  -   Drama  -  New Caledonia",299,"New Caledonia","total  -   Drama"
"total  -   Fantasy  -  New Caledonia",54,"New Caledonia","total  -   Fantasy"
"total  -   Romance  -  New Caledonia",47,"New Caledonia","total  -   Romance"
"total  -   Sci Fi  -  New Caledonia",50,"New Caledonia","total  -   Sci Fi"
"total  -   Thriller  -  New Caledonia",68,"New Caledonia","total  -   Thriller"
"total  -   Action  -  New Zealand",194,"New Zealand","total  -   Action"
"total  -   Adventure  -  New Zealand",119,"New Zealand","total  -   Adventure"
"total  -   Animation  -  New Zealand",69,"New Zealand","total  -   Animation"
"total  -   Comedy  -  New Zealand",170,"New Zealand","total  -   Comedy"
"total  -   Crime  -  New Zealand",134,"New Zealand","total  -   Crime"
"total  -   Drama  -  New Zealand",281,"New Zealand","total  -   Drama"
"total  -   Mystery  -  New Zealand",50,"New Zealand","total  -   Mystery"
"total  -   Romance  -  New Zealand",52,"New Zealand","total  -   Romance"
"total  -   Sci Fi  -  New Zealand",40,"New Zealand","total  -   Sci Fi"
"total  -   Thriller  -  New Zealand",68,"New Zealand","total  -   Thriller"
"total  -   Action  -  Nicaragua",136,"Nicaragua","total  -   Action"
"total  -   Adventure  -  Nicaragua",81,"Nicaragua","total  -   Adventure"
"total  -   Animation  -  Nicaragua",42,"Nicaragua","total  -   Animation"
"total  -   Comedy  -  Nicaragua",195,"Nicaragua","total  -   Comedy"
"total  -   Crime  -  Nicaragua",97,"Nicaragua","total  -   Crime"
"total  -   Drama  -  Nicaragua",312,"Nicaragua","total  -   Drama"
"total  -   Music  -  Nicaragua",33,"Nicaragua","total  -   Music"
"total  -   Mystery  -  Nicaragua",44,"Nicaragua","total  -   Mystery"
"total  -   Romance  -  Nicaragua",118,"Nicaragua","total  -   Romance"
"total  -   Thriller  -  Nicaragua",68,"Nicaragua","total  -   Thriller"
"total  -   Action  -  Nigeria",177,"Nigeria","total  -   Action"
"total  -   Adventure  -  Nigeria",70,"Nigeria","total  -   Adventure"
"total  -   Comedy  -  Nigeria",152,"Nigeria","total  -   Comedy"
"total  -   Crime  -  Nigeria",127,"Nigeria","total  -   Crime"
"total  -   Drama  -  Nigeria",333,"Nigeria","total  -   Drama"
"total  -   Fantasy  -  Nigeria",39,"Nigeria","total  -   Fantasy"
"total  -   Mystery  -  Nigeria",68,"Nigeria","total  -   Mystery"
"total  -   Romance  -  Nigeria",95,"Nigeria","total  -   Romance"
"total  -   Sci Fi  -  Nigeria",38,"Nigeria","total  -   Sci Fi"
"total  -   Thriller  -  Nigeria",51,"Nigeria","total  -   Thriller"
"total  -   Action  -  Norway",175,"Norway","total  -   Action"
"total  -   Adventure  -  Norway",121,"Norway","total  -   Adventure"
"total  -   Animation  -  Norway",51,"Norway","total  -   Animation"
"total  -   Comedy  -  Norway",182,"Norway","total  -   Comedy"
"total  -   Crime  -  Norway",143,"Norway","total  -   Crime"
"total  -   Drama  -  Norway",324,"Norway","total  -   Drama"
"total  -   Fantasy  -  Norway",40,"Norway","total  -   Fantasy"
"total  -   Mystery  -  Norway",49,"Norway","total  -   Mystery"
"total  -   Romance  -  Norway",82,"Norway","total  -   Romance"
"total  -   Thriller  -  Norway",55,"Norway","total  -   Thriller"
"total  -   Action  -  Oman",203,"Oman","total  -   Action"
"total  -   Adventure  -  Oman",103,"Oman","total  -   Adventure"
"total  -   Comedy  -  Oman",122,"Oman","total  -   Comedy"
"total  -   Crime  -  Oman",124,"Oman","total  -   Crime"
"total  -   Drama  -  Oman",267,"Oman","total  -   Drama"
"total  -   Fantasy  -  Oman",39,"Oman","total  -   Fantasy"
"total  -   Horror  -  Oman",32,"Oman","total  -   Horror"
"total  -   Mystery  -  Oman",46,"Oman","total  -   Mystery"
"total  -   Romance  -  Oman",53,"Oman","total  -   Romance"
"total  -   Thriller  -  Oman",77,"Oman","total  -   Thriller"
"total  -   Action  -  Pakistan",298,"Pakistan","total  -   Action"
"total  -   Adventure  -  Pakistan",101,"Pakistan","total  -   Adventure"
"total  -   Comedy  -  Pakistan",154,"Pakistan","total  -   Comedy"
"total  -   Crime  -  Pakistan",217,"Pakistan","total  -   Crime"
"total  -   Drama  -  Pakistan",351,"Pakistan","total  -   Drama"
"total  -   Horror  -  Pakistan",39,"Pakistan","total  -   Horror"
"total  -   Mystery  -  Pakistan",85,"Pakistan","total  -   Mystery"
"total  -   Romance  -  Pakistan",40,"Pakistan","total  -   Romance"
"total  -   Sci Fi  -  Pakistan",47,"Pakistan","total  -   Sci Fi"
"total  -   Thriller  -  Pakistan",87,"Pakistan","total  -   Thriller"
"total  -   Action  -  Panama",149,"Panama","total  -   Action"
"total  -   Adventure  -  Panama",105,"Panama","total  -   Adventure"
"total  -   Animation  -  Panama",62,"Panama","total  -   Animation"
"total  -   Comedy  -  Panama",194,"Panama","total  -   Comedy"
"total  -   Crime  -  Panama",117,"Panama","total  -   Crime"
"total  -   Drama  -  Panama",321,"Panama","total  -   Drama"
"total  -   Horror  -  Panama",32,"Panama","total  -   Horror"
"total  -   Mystery  -  Panama",40,"Panama","total  -   Mystery"
"total  -   Romance  -  Panama",116,"Panama","total  -   Romance"
"total  -   Thriller  -  Panama",71,"Panama","total  -   Thriller"
"total  -   Action  -  Paraguay",138,"Paraguay","total  -   Action"
"total  -   Adventure  -  Paraguay",100,"Paraguay","total  -   Adventure"
"total  -   Animation  -  Paraguay",53,"Paraguay","total  -   Animation"
"total  -   Comedy  -  Paraguay",203,"Paraguay","total  -   Comedy"
"total  -   Crime  -  Paraguay",107,"Paraguay","total  -   Crime"
"total  -   Drama  -  Paraguay",328,"Paraguay","total  -   Drama"
"total  -   Music  -  Paraguay",34,"Paraguay","total  -   Music"
"total  -   Mystery  -  Paraguay",47,"Paraguay","total  -   Mystery"
"total  -   Romance  -  Paraguay",113,"Paraguay","total  -   Romance"
"total  -   Thriller  -  Paraguay",72,"Paraguay","total  -   Thriller"
"total  -   Action  -  Peru",160,"Peru","total  -   Action"
"total  -   Adventure  -  Peru",118,"Peru","total  -   Adventure"
"total  -   Animation  -  Peru",65,"Peru","total  -   Animation"
"total  -   Comedy  -  Peru",194,"Peru","total  -   Comedy"
"total  -   Crime  -  Peru",101,"Peru","total  -   Crime"
"total  -   Drama  -  Peru",296,"Peru","total  -   Drama"
"total  -   Fantasy  -  Peru",34,"Peru","total  -   Fantasy"
"total  -   Mystery  -  Peru",43,"Peru","total  -   Mystery"
"total  -   Romance  -  Peru",106,"Peru","total  -   Romance"
"total  -   Thriller  -  Peru",67,"Peru","total  -   Thriller"
"total  -   Action  -  Philippines",197,"Philippines","total  -   Action"
"total  -   Adventure  -  Philippines",102,"Philippines","total  -   Adventure"
"total  -   Comedy  -  Philippines",151,"Philippines","total  -   Comedy"
"total  -   Crime  -  Philippines",111,"Philippines","total  -   Crime"
"total  -   Drama  -  Philippines",325,"Philippines","total  -   Drama"
"total  -   Fantasy  -  Philippines",43,"Philippines","total  -   Fantasy"
"total  -   Mystery  -  Philippines",66,"Philippines","total  -   Mystery"
"total  -   Romance  -  Philippines",93,"Philippines","total  -   Romance"
"total  -   Sci Fi  -  Philippines",54,"Philippines","total  -   Sci Fi"
"total  -   Thriller  -  Philippines",72,"Philippines","total  -   Thriller"
"total  -   Action  -  Poland",153,"Poland","total  -   Action"
"total  -   Adventure  -  Poland",169,"Poland","total  -   Adventure"
"total  -   Animation  -  Poland",104,"Poland","total  -   Animation"
"total  -   Comedy  -  Poland",208,"Poland","total  -   Comedy"
"total  -   Crime  -  Poland",124,"Poland","total  -   Crime"
"total  -   Drama  -  Poland",298,"Poland","total  -   Drama"
"total  -   Fantasy  -  Poland",40,"Poland","total  -   Fantasy"
"total  -   Mystery  -  Poland",54,"Poland","total  -   Mystery"
"total  -   Romance  -  Poland",69,"Poland","total  -   Romance"
"total  -   Thriller  -  Poland",64,"Poland","total  -   Thriller"
"total  -   Action  -  Portugal",162,"Portugal","total  -   Action"
"total  -   Adventure  -  Portugal",121,"Portugal","total  -   Adventure"
"total  -   Animation  -  Portugal",38,"Portugal","total  -   Animation"
"total  -   Comedy  -  Portugal",191,"Portugal","total  -   Comedy"
"total  -   Crime  -  Portugal",104,"Portugal","total  -   Crime"
"total  -   Drama  -  Portugal",325,"Portugal","total  -   Drama"
"total  -   Family  -  Portugal",41,"Portugal","total  -   Family"
"total  -   Mystery  -  Portugal",38,"Portugal","total  -   Mystery"
"total  -   Romance  -  Portugal",89,"Portugal","total  -   Romance"
"total  -   Thriller  -  Portugal",62,"Portugal","total  -   Thriller"
"total  -   Action  -  Qatar",215,"Qatar","total  -   Action"
"total  -   Adventure  -  Qatar",119,"Qatar","total  -   Adventure"
"total  -   Animation  -  Qatar",31,"Qatar","total  -   Animation"
"total  -   Comedy  -  Qatar",157,"Qatar","total  -   Comedy"
"total  -   Crime  -  Qatar",129,"Qatar","total  -   Crime"
"total  -   Drama  -  Qatar",323,"Qatar","total  -   Drama"
"total  -   Fantasy  -  Qatar",46,"Qatar","total  -   Fantasy"
"total  -   Mystery  -  Qatar",51,"Qatar","total  -   Mystery"
"total  -   Romance  -  Qatar",89,"Qatar","total  -   Romance"
"total  -   Thriller  -  Qatar",78,"Qatar","total  -   Thriller"
"total  -   Action  -  Réunion",212,"Réunion","total  -   Action"
"total  -   Adventure  -  Réunion",126,"Réunion","total  -   Adventure"
"total  -   Animation  -  Réunion",60,"Réunion","total  -   Animation"
"total  -   Comedy  -  Réunion",174,"Réunion","total  -   Comedy"
"total  -   Crime  -  Réunion",129,"Réunion","total  -   Crime"
"total  -   Drama  -  Réunion",316,"Réunion","total  -   Drama"
"total  -   Fantasy  -  Réunion",53,"Réunion","total  -   Fantasy"
"total  -   Romance  -  Réunion",65,"Réunion","total  -   Romance"
"total  -   Sci Fi  -  Réunion",47,"Réunion","total  -   Sci Fi"
"total  -   Thriller  -  Réunion",63,"Réunion","total  -   Thriller"
"total  -   Action  -  Romania",171,"Romania","total  -   Action"
"total  -   Adventure  -  Romania",96,"Romania","total  -   Adventure"
"total  -   Comedy  -  Romania",154,"Romania","total  -   Comedy"
"total  -   Crime  -  Romania",137,"Romania","total  -   Crime"
"total  -   Documentary  -  Romania",34,"Romania","total  -   Documentary"
"total  -   Drama  -  Romania",349,"Romania","total  -   Drama"
"total  -   Fantasy  -  Romania",39,"Romania","total  -   Fantasy"
"total  -   Mystery  -  Romania",69,"Romania","total  -   Mystery"
"total  -   Romance  -  Romania",90,"Romania","total  -   Romance"
"total  -   Thriller  -  Romania",77,"Romania","total  -   Thriller"
"total  -   Action  -  Russia",253,"Russia","total  -   Action"
"total  -   Adventure  -  Russia",131,"Russia","total  -   Adventure"
"total  -   Animation  -  Russia",58,"Russia","total  -   Animation"
"total  -   Comedy  -  Russia",195,"Russia","total  -   Comedy"
"total  -   Crime  -  Russia",200,"Russia","total  -   Crime"
"total  -   Drama  -  Russia",315,"Russia","total  -   Drama"
"total  -   Horror  -  Russia",40,"Russia","total  -   Horror"
"total  -   Mystery  -  Russia",53,"Russia","total  -   Mystery"
"total  -   Romance  -  Russia",54,"Russia","total  -   Romance"
"total  -   Thriller  -  Russia",65,"Russia","total  -   Thriller"
"total  -   Action  -  Saudi Arabia",242,"Saudi Arabia","total  -   Action"
"total  -   Adventure  -  Saudi Arabia",100,"Saudi Arabia","total  -   Adventure"
"total  -   Animation  -  Saudi Arabia",42,"Saudi Arabia","total  -   Animation"
"total  -   Comedy  -  Saudi Arabia",156,"Saudi Arabia","total  -   Comedy"
"total  -   Crime  -  Saudi Arabia",161,"Saudi Arabia","total  -   Crime"
"total  -   Drama  -  Saudi Arabia",326,"Saudi Arabia","total  -   Drama"
"total  -   Horror  -  Saudi Arabia",39,"Saudi Arabia","total  -   Horror"
"total  -   Mystery  -  Saudi Arabia",53,"Saudi Arabia","total  -   Mystery"
"total  -   Romance  -  Saudi Arabia",66,"Saudi Arabia","total  -   Romance"
"total  -   Thriller  -  Saudi Arabia",85,"Saudi Arabia","total  -   Thriller"
"total  -   Action  -  Serbia",204,"Serbia","total  -   Action"
"total  -   Adventure  -  Serbia",110,"Serbia","total  -   Adventure"
"total  -   Animation  -  Serbia",39,"Serbia","total  -   Animation"
"total  -   Comedy  -  Serbia",194,"Serbia","total  -   Comedy"
"total  -   Crime  -  Serbia",143,"Serbia","total  -   Crime"
"total  -   Drama  -  Serbia",303,"Serbia","total  -   Drama"
"total  -   Horror  -  Serbia",30,"Serbia","total  -   Horror"
"total  -   Mystery  -  Serbia",49,"Serbia","total  -   Mystery"
"total  -   Romance  -  Serbia",82,"Serbia","total  -   Romance"
"total  -   Thriller  -  Serbia",72,"Serbia","total  -   Thriller"
"total  -   Action  -  Singapore",216,"Singapore","total  -   Action"
"total  -   Adventure  -  Singapore",110,"Singapore","total  -   Adventure"
"total  -   Comedy  -  Singapore",166,"Singapore","total  -   Comedy"
"total  -   Crime  -  Singapore",120,"Singapore","total  -   Crime"
"total  -   Drama  -  Singapore",317,"Singapore","total  -   Drama"
"total  -   Fantasy  -  Singapore",43,"Singapore","total  -   Fantasy"
"total  -   Mystery  -  Singapore",78,"Singapore","total  -   Mystery"
"total  -   Romance  -  Singapore",79,"Singapore","total  -   Romance"
"total  -   Sci Fi  -  Singapore",51,"Singapore","total  -   Sci Fi"
"total  -   Thriller  -  Singapore",86,"Singapore","total  -   Thriller"
"total  -   Action  -  Slovakia",190,"Slovakia","total  -   Action"
"total  -   Adventure  -  Slovakia",138,"Slovakia","total  -   Adventure"
"total  -   Animation  -  Slovakia",72,"Slovakia","total  -   Animation"
"total  -   Comedy  -  Slovakia",195,"Slovakia","total  -   Comedy"
"total  -   Crime  -  Slovakia",126,"Slovakia","total  -   Crime"
"total  -   Documentary  -  Slovakia",40,"Slovakia","total  -   Documentary"
"total  -   Drama  -  Slovakia",297,"Slovakia","total  -   Drama"
"total  -   Mystery  -  Slovakia",47,"Slovakia","total  -   Mystery"
"total  -   Romance  -  Slovakia",66,"Slovakia","total  -   Romance"
"total  -   Thriller  -  Slovakia",50,"Slovakia","total  -   Thriller"
"total  -   Action  -  Slovenia",179,"Slovenia","total  -   Action"
"total  -   Adventure  -  Slovenia",113,"Slovenia","total  -   Adventure"
"total  -   Animation  -  Slovenia",42,"Slovenia","total  -   Animation"
"total  -   Comedy  -  Slovenia",196,"Slovenia","total  -   Comedy"
"total  -   Crime  -  Slovenia",109,"Slovenia","total  -   Crime"
"total  -   Drama  -  Slovenia",260,"Slovenia","total  -   Drama"
"total  -   Fantasy  -  Slovenia",34,"Slovenia","total  -   Fantasy"
"total  -   Mystery  -  Slovenia",41,"Slovenia","total  -   Mystery"
"total  -   Romance  -  Slovenia",74,"Slovenia","total  -   Romance"
"total  -   Thriller  -  Slovenia",51,"Slovenia","total  -   Thriller"
"total  -   Action  -  South Africa",181,"South Africa","total  -   Action"
"total  -   Adventure  -  South Africa",99,"South Africa","total  -   Adventure"
"total  -   Animation  -  South Africa",47,"South Africa","total  -   Animation"
"total  -   Comedy  -  South Africa",205,"South Africa","total  -   Comedy"
"total  -   Crime  -  South Africa",97,"South Africa","total  -   Crime"
"total  -   Drama  -  South Africa",316,"South Africa","total  -   Drama"
"total  -   Mystery  -  South Africa",61,"South Africa","total  -   Mystery"
"total  -   Romance  -  South Africa",90,"South Africa","total  -   Romance"
"total  -   Sci Fi  -  South Africa",49,"South Africa","total  -   Sci Fi"
"total  -   Thriller  -  South Africa",53,"South Africa","total  -   Thriller"
"total  -   Action  -  South Korea",187,"South Korea","total  -   Action"
"total  -   Adventure  -  South Korea",73,"South Korea","total  -   Adventure"
"total  -   Comedy  -  South Korea",154,"South Korea","total  -   Comedy"
"total  -   Crime  -  South Korea",94,"South Korea","total  -   Crime"
"total  -   Drama  -  South Korea",326,"South Korea","total  -   Drama"
"total  -   Fantasy  -  South Korea",47,"South Korea","total  -   Fantasy"
"total  -   Horror  -  South Korea",36,"South Korea","total  -   Horror"
"total  -   Mystery  -  South Korea",45,"South Korea","total  -   Mystery"
"total  -   Romance  -  South Korea",100,"South Korea","total  -   Romance"
"total  -   Sci Fi  -  South Korea",36,"South Korea","total  -   Sci Fi"
"total  -   Thriller  -  South Korea",89,"South Korea","total  -   Thriller"
"total  -   Action  -  Spain",167,"Spain","total  -   Action"
"total  -   Adventure  -  Spain",98,"Spain","total  -   Adventure"
"total  -   Comedy  -  Spain",169,"Spain","total  -   Comedy"
"total  -   Crime  -  Spain",131,"Spain","total  -   Crime"
